Text,Label,Num_words,Length_class
Rio Tinto and Queensland Health officials have briefed locals in Weipa after a Brisbane-based employee tested positive to COVID-19 days after a visit to a mine site on Cape York. HTTPURL,INFORMATIVE,31,1
"People who recover from the #coronavirus can still be left with substantially reduced lung functions, Hong Kong Hospital Authority have found after observing the first wave of discharged patients HTTPURL",UNINFORMATIVE,30,1
"@USER Dr Fauci and Dr Birx said 100,000 deaths or it might be 200,000, but President Trump spilled the beans and said ""hundreds of thousands."" Imperial College COVID-19 Response Team, which isn't under Trump's thumb, said 1.1-2.2 million deaths.",UNINFORMATIVE,39,1
#CaliforniaGovernor: #Coronavirus Proves We Need More #Socialism - YouTube California #Democrats F’d the middle class The middle class TAX PAYER is being bleed to death in California! They are moving out of state! HTTPURL,UNINFORMATIVE,34,1
So the first Utah Covid Death is an over 60 year old man from Davis County. Does that make it the guy who attended the BYU game?,INFORMATIVE,27,1
"#COVID19 zero deaths today 5,651 more cases and 60 dead and counting. Shipping that #PPE out was either gross negligence or a total failure to heed the pandemic warning and an egregious underestimation of what would befall Canada. For weeks we've heard the",INFORMATIVE,43,1
3 Ohioans test positive for coronavirus Ohio Gov. has declared a state of emergency 'What’s happened is the game has changed on us and we’ve got a bigger risk than we’ve had in the past and we need to treat that appropriately' @USER reports HTTPURL HTTPURL,INFORMATIVE,46,2
Cristiano Ronaldo does NOT have coronavirus: Madeiran health chief reveals 'both the athlete and his family are asymptomatic' despite superstar being held in quarantine ... as Juventus confirm 121 players and staff have gone into self-isolation HTTPURL,INFORMATIVE,37,1
"New cases per day in Belgium, Germany, Spain, Switzerland As per my other tweets, the COVID19 outbreak entered a exponential growth phase in at least a dozen European countries HTTPURL",UNINFORMATIVE,30,1
"Join @USER for a free webinar opportunity, April 2 at noon PT/3 p.m. ET - Administering Justice in Tribal Courts During the #COVID19 Pandemic: Rapid Response Webinar Series - Continuation Planning for Tribal Courts. Register: HTTPURL HTTPURL",UNINFORMATIVE,37,1
"Oh by the way, that guy has tested NEGATIVE for #CoronaVirus. Thankfully. Mom said, the govt workers are doing this on his street now. When whole countries like Iran &amp; Italy, failed to take preventive measures, model state like TN is doing what it does best, caring for its ppl.",INFORMATIVE,50,2
#Freethemall4publichealth We are just hearing from the family of a loved one inside that there is a positive case of COVID19 at The Tombs. She passed the message: “Free them all! There is no flight risk!” #FreeThemAll4PublicHealth @USER Your District !,INFORMATIVE,41,1
"@USER is confirming four more positive cases of COVID-19 in the county, this makes 13 total confirmed cases of COVID-19 in Santa Barbara County at this time. Read more: HTTPURL HTTPURL",INFORMATIVE,31,1
"How to high five during social distancing thanks to Demolition Man. . . #socialdistancing #demolitionman #coronavirus #covıd19 #scifive #notouching #keepback6feet @ Fourth Ward, Houston HTTPURL",UNINFORMATIVE,25,1
"*LIVE APPEAL - ALBANIA UNDER LOCKDOWN* - Tonight (7th April) from 9.30 pm - Live on Instagram and Facebook - Since 9th March, Albania has been under lockdown. Unfortunately due to the current Coronavirus crisis many… HTTPURL",UNINFORMATIVE,37,1
"The Carroll County General Health District has received confirmation of the first positive case of COVID-19 in Carroll County. CCGHD will hold a press conference on Sunday, March 22, 11 a.m. It will be streamed on their Facebook page.",INFORMATIVE,39,1
"Farewell to Eddie Large, of LITTLE &amp; LARGE fame (pictured right), who has died, aged 78, after contracting coronavirus. HTTPURL",INFORMATIVE,20,0
"New story on NPR: Farmworkers, Deemed Essential, Don't Feel Protected From Pandemic Nearly half of the 850,000 farmworkers in California are undocumented, and labor unions say sometimes they are denied sick leave. Undocumented workers are excluded from the coronavirus relief…",UNINFORMATIVE,40,1
". 2 of the 3 biggest markers for death from #COVID19 is ""male"" and ""over 60 years old"". What's the demographics of the US Congress again? I forget. Anyway, better get those test kits to them, STAT! Wait... .",UNINFORMATIVE,39,1
Update: Attendees of Biogen’s management meeting in Boston last week are being told to quarantine themselves and avoid social contacts after 3 attendees infected. $BIIB #coronavirus #COVIDー19 HTTPURL,INFORMATIVE,28,1
🦠#COVID19 Death Toll increases to 9 in Turkey 🔴Turkey just confirmed 311 new cases after testing 3656 increasing total number of positive cases to 670. HTTPURL,INFORMATIVE,26,1
Early morning cardio stroll &amp; running errands for some “life essential” stuff before working remotely... this Corona virus already postponed two productive trips to Tampa &amp; London... it can truly kick rocks! #CoronaVirusUpdate #COVID19 #brooklyn #NYC HTTPURL,UNINFORMATIVE,37,1
"@USER Russia’s secretive Vector Lab where they studied viruses, etc. Fire, some kind of incident in Nov. 2019. Month later—admittedly very far away—coronavirus pops up in Wuhan. Just saying.",UNINFORMATIVE,29,1
"If you’ve watched @USER wonderful stories about the Memorial Rifle Squad over the years, this coronavirus-related update is heartbreaking. HTTPURL",UNINFORMATIVE,20,0
Wonder WHY US is making their testing kits? Micro experts in Spain have said that rapid coronavirus tests that the country bought from China are not consistently detecting positive cases. They correctly identify people with the virus only 30% of the time!! HTTPURL,UNINFORMATIVE,43,1
"Every flipping day the numbers grow. Kentucky on Friday was 47, today it is 63. Indiana on Friday was 79 w/2 deaths, today it is 126 w/3 deaths. #coronavirus The fear is real! The not knowing what tomorrow may bring is real! Everyone #BeSafe &amp; #BeKind HTTPURL",INFORMATIVE,47,2
"Well we are on Serious Lock Down for lack of a better term.... #covid_19 #coronavirus #damnshame smh be safe everyone 🤎🧡🤎🧡🤎 @ Brooklyn, New York HTTPURL",UNINFORMATIVE,26,1
"“A COVID-19 vaccine is at least 12 to 18 months away, but there is hope that hydroxychloroquine ‘may have life-saving therapeutic efficacy against COVID-19,’ said the Mayo Clinic guidance.” #Hydroxychloroquine",UNINFORMATIVE,30,1
"Two men with coronavirus have died in Balkh province, provincial health officials confirmed on Monday, adding that one was an 86-year-old who died in a hospital, and the other was 70 and died at home. So far three people have died of #coronavirus in Balkh province. #Afghanistan HTTPURL",INFORMATIVE,48,2
@USER The covid is a dangerous virus for sure. Numbers are not static at the onset of this and is dependent on the country the testing the number of confirmed cases. I would lean to having numbers from the CDC with US testing over what China or Iran says is a death toll,UNINFORMATIVE,53,2
The News4 I-Team found groceries aren’t the only items in demand. One Virginia gun store owner tells Investigative Reporter @USER sales have spiked since the coronavirus hit the D.C. area. HTTPURL,UNINFORMATIVE,31,1
"JUST IN: Despite lack of confirmed #COVID19 case among congressmen and personnel, House of Representatives to undergo disinfection this weekend, says SecGen Jose Luis Montales. | via @USER HTTPURL",UNINFORMATIVE,29,1
"Ghana: Given the rise of the number of cases of coronavirus (COVID-19) in Ghana, on 21 March the Government of Ghana announced the closure of the country’s borders, effective from 0000 GMT 22 March until 2300 GMT 5 April. The border .. #TravelAdvice HTTPURL",UNINFORMATIVE,44,1
Fighting Stigma: Coronavirus: 102 new cases of Covid-19 confirmed in Ireland: The Health (Preservation and Protection and other Emergency Measures in the Public Interest) Act 2020 was signed into law by the President of Ireland ... HTTPURL,INFORMATIVE,37,1
"Italy is still pretty much in total lockdown. Despite of that Italy still reports around 3,000 new cases of Covid19 every single day. This is 30% more than Sweden (population adjusted). Sweden has no lockdown at all. Why??",INFORMATIVE,38,1
"Let's act though everything &amp; everyone around us is infected! Extra Extra precautions my people If u've been washing hands for 20 sec, do 45 secs now, if u've been washing 4 times a Day, do 8/10 times. We will fight #COVIDー19 together.",UNINFORMATIVE,43,1
The North Queensland Toyota Cowboys can advise that a COVID-19 test undertaken by club employee Antonio Winterstein has today returned a negative result.,INFORMATIVE,23,1
#Burkinafaso now has more cases of #COVID19 than any other country in West Africa (64). 4 ministers have tested positive and one member of the national assembly has died. Our @USER story HTTPURL,INFORMATIVE,33,1
"@USER @USER Can’t test - but person returned from Spain, had bilateral pneumonia, negative respiratory virus panel and was dead the next day . That’s covid-19’s MO.",INFORMATIVE,27,1
"- It was a French study carried out in early March into the 16th. - Age less than 12, allergy to HCQ, pregnant and lactating women where excluded with patients showing varying degree of symptoms. - Initially included 42 Covid+ patients, 26 undergoing treatment and 16 as control.",INFORMATIVE,48,2
"BREAKING: Two Broward County patients have tested positive for #COVID19. Two other patients (Santa Rosa, Lee coutnies) have died from it. The Lee County case was a presumptive positive that hadn't been announced yet. Story tk.",INFORMATIVE,36,1
Coronavirus: Family's warning to those 'not taking virus seriously' as mother of twins dies HTTPURL HTTPURL,INFORMATIVE,16,0
"via @USER Israeli Prime Minister Tests Negative for COVID-19: TEL AVIV (Sputnik) - Israeli Prime Minister Benjamin Netanyahu has tested negative for COVID-19, the government's press service said on Friday. HTTPURL HTTPURL",INFORMATIVE,32,1
"#BREAKING: Two residents of Koester Pavilion, a nursing home in Miami County where coronavirus has been confirmed have died. More to come.",INFORMATIVE,22,1
"A 54-year-old resident of Kalimpong, who was admitted at North Bengal Medical College and was tested positive for #Coronavirus, died earlier this morning: Dr Pralay Acharya, Chief Medical Officer of Health (CMOH) Darjeeling #WestBengal #CGNews",INFORMATIVE,35,1
"There are 40 Online SMART meetings per week and 24/7 message boards for recovery support during this isolating crisis- please share COVID-19 &amp; SMART Face-to-Face Meetings HTTPURL Also, HTTPURL has a ton of online meetings of 12-step and SMART",UNINFORMATIVE,39,1
"COVID19 does not spare anyone, including the young... My condolences to the family of the 16-year old that died in Paris. Stay at home and stay safe, people. Regards, Tash",INFORMATIVE,30,1
"Calls mount to lift bans on gay men giving blood amid coronavirus: Germany's rules require that gay or bisexual men abstain from sex for at ... 2012 and 2018, according to figures released by Public Health England. HTTPURL",UNINFORMATIVE,38,1
"Taiwan’s reaction to Covid-19 has been fast and effective. Despite its proximity to China, it has seen just 395 cases and six deaths. HTTPURL",INFORMATIVE,24,1
"@USER @USER According to Haisla Chief Councilor 1 case #covid19 already at Kitimat hospital that she donated 300k to (guilt?) Kitimat Mayor's video talking about ""rumors"", Dr. Bonnie Henry parrots Horgans justification that #CGL social distancing is ""magic"" #bcpoli HTTPURL",INFORMATIVE,40,1
"LONDON (Reuters) - Prince Charles, the 71-year-old heir to the British throne, has tested positive for coronavirus but is in good health and is now self isolating in Scotland with mild symptoms. HTTPURL via @USER",INFORMATIVE,35,1
Trump lashes out at the governor of Washington State -- where 13 people have died of the coronavirus -- calling him “a snake” HTTPURL via @USER,INFORMATIVE,26,1
"CMT will air a special celebrating the life&amp;music of Kenny Rogers,who died in late March, on Wednesday, April 8 at 8p. Tribute features performances and interviews. Special will include an opportunity for fans to donate directly to MusiCares COVID-19 Relief Fund.",UNINFORMATIVE,41,1
"#BREAKING - Buhari’s Chief of Staff, #AbbaKyari dies of Coronavirus -------------- The Chief of Staff to the President, Abba Kyari has died of the deadly Coronavirus. READ MORE - HTTPURL HTTPURL",INFORMATIVE,31,1
Iranian Vice President Massoumeh Ebtekar recovered from Coronavirus and she is back at work. May God Almighty cure all patients of coronavirus in entire world! #COD19 #IranFightsCorona HTTPURL,INFORMATIVE,28,1
"If u go to UK, you will see the best hospital built by @USER but in Nigeria @USER duty is to beat the people to death... @USER #COVID19Pandemic #coronavirus HTTPURL",UNINFORMATIVE,30,1
"Watch: Fox Business Network’s @USER was off air tonight and in self quarantine after one of his team members tested positive for Coronavirus. His show was anchored by @USER instead, who wished Lou a speedy recovery. HTTPURL",INFORMATIVE,37,1
"most of our classes are in manhattan where the first coronavirus case was found, yet they still won't allow classes to convert into online? wild... #CUNY",INFORMATIVE,26,1
"Colorado #COVID19 Update: Tri-County Health Department (Adams, Arapahoe and Douglas Counties), Jefferson County Public Health, and Boulder County Public Health have issued a stay-at-home order until April 17th. HTTPURL",UNINFORMATIVE,29,1
The rest of the world is not stopping despite covid-19. Read this important interview with Gui Minhai’s daughter. (SWEDISH) HTTPURL,UNINFORMATIVE,20,0
South Dakota’s governor resisted ordering people to stay home. Now it has one of the nation’s largest coronavirus …Reprehensible playing Partisan Politics to appease Trump as Victims Died! HTTPURL,UNINFORMATIVE,29,1
If I'm the Revival I'm grateful for The Coronavirus because that's my ticket to go to AEW Or NWA They want out of their contracts this is the perfect way for them to get out of their contracts Hey look i found another positive for The Coronavirus I'm 2 for 2,UNINFORMATIVE,51,2
Here is more information on the patient who tested presumptive positive for #COVID19 today at Methodist Hospital. She has been transferred to the biocontainment unit at the University of Nebraska Medical Center: HTTPURL HTTPURL,INFORMATIVE,34,1
"#AGBarr has instructed US attorneys nationwide to prioritize prosecutions and investigations of #Scammers, #Fraudsters, and #Cybercriminals who are seeking to take advantage of the public panic over the #CoronavirusOutbreak. HTTPURL",UNINFORMATIVE,30,1
"In order to further limit the spread of the COVID-19 virus, access to the lobbies at Harford County Sheriff's Office locations is being restricted until further notice. For more information: HTTPURL #COVID19 #STAYHOMESAVELIVES #HCSOHereToHelp HTTPURL",UNINFORMATIVE,35,1
"In case you missed it in all the news regarding COVID-19: The IRS and Treasury Department have pushed back the tax filing and payment deadlines to July 15, 2020. You get an extra 3 months to file and pay. They are still paying most refunds in 21 days. HTTPURL",UNINFORMATIVE,49,2
"#Italy 31st Jan: 1st Corona +ve case 23rd Feb: number rose to 150 (in 23 days) 20 Mar: 41035 cases, 4061 deaths. #Pakistan 26th Feb: 1st #CoronavirusPandemic case 21st Mar: 600+ cases (in 24 days) (Numbers are horrific) #lockdown #LockdownPakistan #Covid_19 #CoronaVirusPakistan HTTPURL",INFORMATIVE,43,1
"The #COVID19 infected Italian doesn't exist ""Discovery #CoronaVirusInNigeria is a hoax"" ""Govt want to use #COVID19NIGERIA to embezzle funds"" ""Lagos Isolation centre is ill-equipped"" Hope the morons that vomited D above statements will bury their head in shame after seeing👇🏼 HTTPURL",UNINFORMATIVE,41,1
"A pandemic of the novel coronavirus has claimed the lives of more than 47,000 people around the world, including at least 5,116 people in the United States.",INFORMATIVE,27,1
It's a question a lot of dense communities must answer: where to put coronavirus patients who need to recover in isolation? Hospitals are a poor and expensive choice. Coronavirus motel ignites clash at the epicenter of Seattle outbreak HTTPURL via @USER,UNINFORMATIVE,41,1
The USNS Comfort crosses under the Verrazzano Bridge into New York Harbor. The hospital ship that will help relieve some of the pressure placed on New York city's hospitals where thousands are currently being treated for COVID-19. #COVID19 🙏🏼for all! Photo credit .@USER HTTPURL,UNINFORMATIVE,44,1
"Using county data from @USER this shows COVID-19 daily cases and deaths in the Bay Area v. the rest of California. The Bay Area started ""social distancing"" earlier than the rest of the state and also the country. It's one sign it may be working and the earlier the better. HTTPURL",UNINFORMATIVE,51,2
"LONDON/MILAN- The world's richest nations poured unprecedented aid into the global economy on Thursday as coronavirus cases ballooned in the new epicentre Europe, with the number of deaths in Italy outstripping those in mainland China, where the virus ori HTTPURL HTTPURL",UNINFORMATIVE,41,1
"BS. The pandemic response team was reformed primarily into the Biodefense Steering Committee, which in the case of COVID-19 was superseded by the more focused Coronavirus Task Force, which was formed while the WHO &amp; China were still claiming that the virus wasn't even contagious",UNINFORMATIVE,45,2
"@USER @USER @USER @USER That statistic is incorrect. Please avoid spreading #FakeNews - The total number of deaths in Italy from the coronavirus outbreak rose to 4,825 on Saturday. Source: HTTPURL",INFORMATIVE,31,1
BREAKING: Maryland Department of Health announced the state’s third death as a result of COVID-19. She is a Montgomery County resident in her 40s who had underlying medical conditions @USER #CoronavirusPandemic HTTPURL,INFORMATIVE,32,1
"You put this slumlord who sells secrets to the Saudis, can't get a security clearance, extorted millions from Qatar; this grifter is in charge of the coronavirus response? #TrumpOwnsEveryDeath #TrumpIsTheWORSTPresidentEVER @USER #JaredKushner",UNINFORMATIVE,32,1
"On Friday, a group of activists gathered outside Sing Sing prison in Ossining, where Juan Mosquero, 55, died of #COVID19. He wasn't tested until after he died. HTTPURL",INFORMATIVE,28,1
"I live just outside the Akron area, in Cuba Falls. Summit Co. Our county is reporting at least 12 new cases every day. Coronavirus in Ohio | Impact on Akron area: Summit County has 43 cases; second death reported in Stark; Ohio up to 704 cases, 10 deaths HTTPURL",INFORMATIVE,49,2
"We said from day1- use a mask!! Use N95 if you can (you may have one from the smoke crisis), otherwise use a surgical mask or worst case- cloth(neither stops tiny COVID). Remember that it should seal well. Sanitise mask after use. Still keep a distance from ppl &amp; wash hands.",UNINFORMATIVE,51,2
California's Alameda County confirms 2nd case of #coronavirus is a hospitalized older adult who was former passenger on Grand Princess cruise. There are now at least 11 confirmed US cases #covid19 from former passengers who were on the cruise ship. HTTPURL,INFORMATIVE,41,1
#Covid19 India at the end of 12/04/20. Dip in new cases may be due to less testing today. Deaths going up relentlessly Dr Arun HTTPURL,UNINFORMATIVE,25,1
"India, population 1.3 billion, orders ‘complete’ coronavirus lockdown Modi said the lockdown would start at midnight local time, would last for a minimum of 21 days, and would apply to all of .....read more. HTTPURL HTTPURL",UNINFORMATIVE,36,1
"The fact that the US relied for weeks on mere travel screening, rather than widespread testing and self-quarantine, is why the US about to have a major crisis. Officials in Washington state just raised their coronavirus toll to 16 deaths, 15 of them elderly patients. HTTPURL",INFORMATIVE,46,2
"@USER @USER @USER @USER @USER @USER @USER 1: Hypothesis, nothing else 2: Most of that talk is debunked already (like the fact that Africa DOES have Covid-19 cases) 3: Most important scientific rule 99,99% of people forget: Correlation does not imply causation! (and THAT is a fact 😉)",UNINFORMATIVE,48,2
#BREAKING - A #FortBliss soldier has tested positive for #COVID-19. This is the first #coronavirus case at Fort Bliss. The soldier is assigned to an Army Reserve unit from #NewYork City and recently reported for training on Fort Bliss. The soldier is in isolation at Fort Bliss.,INFORMATIVE,47,2
#COVID19 The South Africa Depression and Anxiety Group has reiterated the need to manage mental health issues during the lockdown period. IMS 📷(eldos) HTTPURL,UNINFORMATIVE,24,1
1/ The president's China travel ban excluded from the US nealy 1 million potential COVID-19 carriers. Only citizens &amp; permanent residents were allowed entry. All public health scientists agree it helped avoid significant suffering &amp; death. @USER &amp; @USER declared . . .,UNINFORMATIVE,43,1
"*UK coronavirus death toll tops 10,000* Prince William : 'Britain is at its best in a crisis' Princess Beatrice : 'My wedding will lift up the nation'",INFORMATIVE,27,1
"Coronavirus has caused 70 deaths at Croydon University Hospital, while 140 patients have since recovered and 150 are currently being treated for the disease HTTPURL",INFORMATIVE,25,1
"As we slowly begins recovery operations from the #COVID19 pandemic, our Capital Area Community Relief Fund will be needed more than ever to assist our local 10-parish area. To donate and find more info, visit HTTPURL or text COVID2020 to 313131. #LiveUnited HTTPURL",UNINFORMATIVE,43,1
"Great, my county (Santa Clara) now has the highest number of COVID-19 cases in CA at 37. 😬 On one hand, I'm glad they're doing tests. On the other hand, I know they're still not testing enough—which only validates that there are easily hundreds more here.",INFORMATIVE,46,2
"And them mofos died frm a std. Coronavirus a whole different animal wit no taboo attached. Anyone can get it. I hope the govt, cdc, whoever corrals this BUT this is an opportunity for localized acts everywhere.",UNINFORMATIVE,37,1
"@USER Something to consider. [Poop Provides An Early Sign Coronavirus Cases Will Rise, Study Says] HTTPURL",UNINFORMATIVE,16,0
We need to just Keep Calm #COVID we have 3 cases here In my home State. #keepcalmandwashyourhands #KeepCalm HTTPURL,INFORMATIVE,19,0
"NORTHEAST STUDENTS CALLED #CORONAVIRUS ""They saw I had Mongoloid features. After that they screamed, ‘Aye, coronavirus!’ I was shocked to react,” a student who studies at Hansraj College said. @USER @USER @USER @USER @USER HTTPURL",UNINFORMATIVE,35,1
"Massachusetts - A Bridgewater inmate has tested positive for coronavirus, and state prison officials have quarantined the man and his roommate HTTPURL",INFORMATIVE,22,1
#Coronavirus #Lockdown #JuntaCurfew : The Ministry of Health and Family Welfare has notified 75 cities that have reported #Covid_19india cases and will now be put under complete down to check the spread of COVID-19 disease in the country. HTTPURL,UNINFORMATIVE,39,1
More than double the number of people have died every single day this week from #Coronavirus compared to the total number of people murdered in all of last year in #NYC. #Harlem activist @USER says too many people are still gathering even sharing blunts &amp; cigarettes. @USER HTTPURL,UNINFORMATIVE,48,2
"Our second weekly town hall on #COVID19 &amp; #homelessness addresses the challenges of people living outdoors. Our panel features HCH leaders Jim Withers, MD, of @USER &amp; James O’Connell, MD, of @USER Register &amp; join us at 12 p.m. CT on April 3. HTTPURL HTTPURL",UNINFORMATIVE,45,2
16 New cases &amp; 2 Death reported today as of 1:50 PM on 22/3/2020. Chg - 1 Ktk - 1 Maha - 10 + 1 Death TN - 1 Bihar - 2 + 1 Death Telangana - 1 Number of #coronavirus cases in India rises to 355 Active : 318 Cured : 31 Deaths : 6 #Covid19 #India HTTPURL,INFORMATIVE,59,2
Should ALL people arriving in NZ be quarantined immediately on arrival? Should MOH try using Hydroxychloroquine as an aid in recovery of Covid19?,UNINFORMATIVE,23,1
#BREAKING | Egypt's Prime Minister: The figures of people infected with coronavirus (COVID-19) in Egypt may increase during the next week but they will still be within the safe range. #EgyptToday #Egypt #COVID19 | #كورونا #مصر #رئيس_الوزراء #مصطفى_مدبولي HTTPURL,UNINFORMATIVE,39,1
@USER @USER @USER Korea have M4A since 1989 USA have 6 times more population than Korea. Korea coronavirus infection total 10282 . deaths total 186.(they had safety gear. 1doctor die)many world leaders is contacting Korea to learn why n how Korea is so success at fighting coronavirus,INFORMATIVE,47,2
"ITALY 🇮🇹 : Italian media has announced that the Italian chief of staff, General Salvatore Farina, is infected with the new Corona virus COVID-2019 , with the virus spreading throughout Italy. HTTPURL",INFORMATIVE,32,1
"Every Monday, Wednesday, and Friday we will be putting out more data around positive cases and zip codes. We will have a new report out tomorrow and please remember the total case number changes everyday. As you can see, COVID19 is impacting us across the city. HTTPURL",UNINFORMATIVE,47,2
"@USER Hope #coronavirus pandemic let the world understand the evilness of Chinese Communist Party. It covers up #WuhanVirus, shamelessly asks for positive global recognition &amp; spreads conspiracy theories to blame other countries for the virus... #ChinaLiedPeopleDied",UNINFORMATIVE,36,1
"No, Spain's death rate isn't highest in the world. US reported 1,000+ deaths over 24 hours Wednesday. ""Spain records world's highest number of coronavirus deaths in a day - 950 HTTPURL via @USER",INFORMATIVE,33,1
"Amazon made over $10 billion in 2018 but bc of tax credits, the company zeroed out its income taxes and got a REFUND of $129 million, according to the SEC. #Covid_19 #OUTRAGEOUS #CoronavirusPandemic #trump HTTPURL #CoronaVirusUpdate #news",UNINFORMATIVE,37,1
"The rupee opened weak at 75.97 at the interbank forex market Mumbai: The rupee fell by 48 paise to 76.08 against the US dollar in opening trade on Friday, as investors braced for a prolonged period of uncertainty as coronavirus cases witnessed a sharp … HTTPURL HTTPURL",UNINFORMATIVE,47,2
"Rep. Alexandra Ocasio-Cortez said Republican chairman of the Senate Intelligence Committee Sen. Richard Burr should resign from office, after he dumped $1.6 million in stock after receiving private briefings on the #COVID-19 #coronavirus crisis. HTTPURL",UNINFORMATIVE,35,1
An update on our efforts to secure COVID-19 test kits for the City of Mobile: HTTPURL,UNINFORMATIVE,16,0
Unbelievable. US now has the highest number of active #COVID19 cases after Italy. HTTPURL US active cases is 4x of China HTTPURL,UNINFORMATIVE,22,1
Odisha Govt set up 2 dedicated hospitals in a record 7 days in Cuttack &amp; Bhubaneswar with a total capacity of 625 beds to provide dedicated healthcare services to #COVID19 patients. #OdishaLeadsCoronaFight HTTPURL,UNINFORMATIVE,33,1
"According to a recent study published in the New England Journal of Medicine, SARS-CoV-2, the virus that causes COVID-19, can live for up to 72 hours on plastics, 48 hrs on stainless steel, 24 hrs on cardboard, and 4 hrs on copper. It is also detectable in the air for three hrs. HTTPURL",UNINFORMATIVE,53,2
"#CoronavirusOutbreak | UP Health Dept: As of 6 pm today, there are 96 confirmed #COVID19 cases in the state, out of which 17 people have been declared recovered/discharged (8 in Agra, 6 in Noida, 2 in Ghaziabad, &amp; 1 in Lucknow) Test results of 89 people are still awaited ANI HTTPURL",INFORMATIVE,51,2
The governor and the Florida Department of Health has been under increasing pressure from families of residents and advocates such as AARP to release the names of the more than 100 nursing homes and assisted living facilities that have indicated they have positive COVID-19 cases,UNINFORMATIVE,45,2
90-year old Geneva Wood was discharged from @USER after beating a life-threatening bout with #COVID19. Thank you @USER &amp; @USER for telling her inspiring and courageous story. HTTPURL,INFORMATIVE,28,1
"China reports no domestic cases of coronavirus for the first time since the outbreak began HTTPURL The battle there isn't over yet. There could, and in all likelihood will be a subsequent outbreak.",INFORMATIVE,33,1
HTTPURL U.S. Attorneys Office Continues Its Critical Public Safety Functions and Urges Public to Report Suspected COVID-19 Fraud,UNINFORMATIVE,18,0
Entrepreneurs in action: Two members of our community have flexed their entrepreneurial skills to help people struggling with the COVID-19 pandemic in the form of a community street pantry named Newtown Blessing Box! HTTPURL HTTPURL,UNINFORMATIVE,35,1
"This is what politicizing a fake COVID experience looks like. Don Lemon was crying over Fredo, while his pierced nipple brother exploited it for political gain, and Dr Gupta used it to confirm that CNN was right all along while Trump failed America. HTTPURL",UNINFORMATIVE,44,1
How has Shanghai with a population of over 30 million people only had around 500 cases of Coronavirus and their businesses remain open etc. Yet the disease has touched all corners of the world - something isn’t quite right 🤔 #Covid19UK,INFORMATIVE,41,1
"@USER @USER @USER If the Liverpool game &amp; Cheltenham Festival caused a significant spread of the Covid-19 - you’d see a spike in cases around the Liverpool area compared to comparable UK cities. Since 1/3 of the Cheltenham crowd travel from Ireland, you’d see infection levels in....",UNINFORMATIVE,47,2
Listen to the latest podcast episode 38 “ The rise of the skilled heroes fighting Covid19 HTTPURL 🦠✊🏾👏🏾#podcasts #COVID19 #RishiSunak #NHSworkers #frontlineworkers #BorisJohnson #PPEforNHS #PPEshortage 🎧,UNINFORMATIVE,26,1
"#Covid19 continues to march in #Maharashtra with 6 more deaths, including a 43year old woman, while the number of #CoronaPositive cases increased by 145 to touch 635, state health authorities said in #Mumbai on Saturday. | #MaharashtraFightsCorona @USER @USER",INFORMATIVE,39,1
"‘Half of Swedish population may be COVID-19 infected in April’, warns Stockholm University professor HTTPURL",UNINFORMATIVE,15,0
"@USER As many as 266 #Coronavirus positive cases detected till 9AM this morning. 243 of them are those who attended Delhi Jamaat &amp; their contacts: Jawahar Reddy, Andhra Pradesh Medical&amp;Health Department Special Chief Secretary",INFORMATIVE,34,1
"Mayor John Tecklenburg, MUSC President Dr. Cole and city leaders will hold a press conference on the city’s efforts related to COVID-19 today at 2:30 p.m. in Washington Square, located at 80 Broad Street. The press conference will be live streamed at HTTPURL",UNINFORMATIVE,43,1
Weeks of zero reported COVID 19 cases in the Philippines. Social media makes noise about under-reporting of COVID 19 cases in the Philippines. DOH immediately announces one case after the other after the other after the other. OK.,UNINFORMATIVE,38,1
"Maybe this will make people sit up and listen - almost 6,000 in UK now have #COVID19 and almost 300 have died. This is real. Social distancing matters but we ALL need to do it! HTTPURL",INFORMATIVE,36,1
"21st PH death was PH200, 34-year old Filipino from Quezon City, with no travel or exposure history. He was confirmed positive March 18, expired March 21 due to acute respiratory distress syndrome secondary to severe acute respiratory illness COVID-19, was diabetic. | @USER",INFORMATIVE,43,1
today is the1st day of spring. could it be that the Number of new cases of #Covid_19 in italy not growing exponentially (linear in the log transformation) anymore (superimposed yellow line for reference. Hope will help us to survive. thanks to @USER always,UNINFORMATIVE,43,1
"Five positive cases of COVID-19 were reported from Maharashtra on Friday, taking the total to 53. Those tested positive from Mumbai include a 38-year-old man with a travel history to Turkey and a 62-year-man with a travel history to U.K. | @USER HTTPURL",INFORMATIVE,43,1
Just saw former Obama Acting Sec. of Labor Seth Harris calls for Trump’s resignation based on his horrible failure to respond during this COVID-19 emergency. Mr. Harris is obviously right presenting a good case for Trump’s resignation as the “worst failed president” in history. HTTPURL,UNINFORMATIVE,45,2
"A former police officer who died following a positive coronavirus test has been remembered as a respected ""great"" and ""dedicated"" officer. HTTPURL HTTPURL",INFORMATIVE,23,1
"Hey everyone, please consider donating to help frontline COVID19 testing staff who are working 24/7 to protect you and your families. Link: HTTPURL cc @USER HTTPURL",UNINFORMATIVE,26,1
"A 78-yr-old man from #Godhra, first #COVID2019 patient of #Panchmahals passed away at a private hospital in #Vadodara. He had tested positive of on Wednesday. His family had claimed that he had no travel history #coronavirusindia #COVIDupdate #Gujarat @USER",INFORMATIVE,39,1
